Endpoint,StatusCode,Count,TPS,Avg,P90,P95
"App - /v1/product-compare",2,1,"0.00",,,
"App - /v1/product-compare",20,1,"0.00",,,
"App - /v1/product-compare",200,367174,"100.35","11.38","17.60","22.43"
"App - /v1/product-compare",206,232,"0.06","29.28","36.00","39.45"
"App - /v1/product-compare",207,11,"0.00","35.82","43.00","63.50"
"App - /v1/product-compare",404,44,"0.01","31.59","40.10","44.55"
"App - /v1/items",20,1,"0.00",,,
"App - /v1/items",200,883176,"241.37","8.14","12.36","21.34"
"App - /v1/items",404,6,"0.00","503.33","504.00","504.00"
"App - /v1/wishlist-product-aggregator",200,53957,"14.75","13.80","23.86","31.05"
"App - /v1/wishlist-product-aggregator",206,36002,"9.84","52.97","76.95","94.63"
"App - /v1/wishlist-product-aggregator",207,183,"0.05","24.06","31.00","38.00"
"App - /v1/wishlist-product-aggregator",404,810,"0.22","23.53","31.22","37.90"
