Endpoint,RespCode,TPS,Count,Avg,P90,P95
"Edge - /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",200,"15.33",56092,"119.71","174.50","238.72"
"Edge - /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",400,"0.01",38,"173.66","336.40","351.80"
"APP-Loyalty-api /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",200,"15.33",56092,"118.13","173.19","237.22"
"APP-Loyalty-api /rewards-profile?expand=points%2Ccertificates%2Crecentactivity",400,"0.01",38,"171.89","334.40","349.80"
"APP- Loyalty-Service /api/v1/accounts/*/rewards/profile",200,"26.84",98225,"11.45","14.00","15.00"
"Edge - /rewards-history",200,"28.72",105081,"171.15","222.05","295.43"
"Edge - /rewards-history",400,"0.01",25,"12.12","13.60","14.80"
"Edge - /rewards-history",401,"0.02",81,"3.01","4.00","4.00"
"Edge - /rewards-history",500,"0.01",34,"14.15","16.00","16.00"
"APP-Loyalty-Api /rewards-history",200,"28.72",105081,"169.62","220.45","293.89"
"APP-Loyalty-Api /rewards-history",400,"0.01",25,"10.52","12.00","12.00"
"APP-Loyalty-Api /rewards-history",401,"0.02",81,"0.70","1.00","1.00"
"APP-Loyalty-Api /rewards-history",500,"0.02",68,"5.90","7.30","8.00"
"Edge - /v5/rewards-customers/pos?phone",200,"28.74",105152,"106.69","111.74","168.57"
"Edge - /v5/rewards-customers/pos?phone",400,"0.01",38,"14.08","19.00","27.90"
"Edge - /v5/rewards-customers/pos?phone",401,"0.02",73,"2.79","3.80","4.00"
"Edge - /v5/rewards-customers/pos?phone",404,"0.01",34,"94.50","100.40","110.45"
"APP-Loyalty-api /rewards-customers/pos?phone",200,"28.74",105152,"105.20","110.21","166.84"
"APP-Loyalty-api /rewards-customers/pos?phone",400,"0.01",38,"12.47","18.00","26.60"
"APP-Loyalty-api /rewards-customers/pos?phone",401,"0.02",73,"0.70","1.00","1.00"
"APP-Loyalty-api /rewards-customers/pos?phone",404,"0.01",34,"93.00","98.40","108.45"
"Edge - /v5/rewards-customers/pos?Email",200,"28.77",105271,"105.97","110.56","149.22"
"Edge - /v5/rewards-customers/pos?Email",400,"0.01",33,"14.48","17.80","46.60"
"Edge - /v5/rewards-customers/pos?Email",401,"0.04",161,"2.71","3.00","4.00"
"APP-Loyalty-api /rewards-customers/pos?Email",200,"28.77",105271,"104.47","108.93","147.43"
"APP-Loyalty-api /rewards-customers/pos?Email",400,"0.01",33,"12.91","15.80","45.00"
"APP-Loyalty-api /rewards-customers/pos?Email",401,"0.04",161,"0.68","1.00","1.00"
"Loyalty-Adapter",200,"109.61",401077,"119.31","188.53","203.25"
"Loyalty-Adapter",500,"0.04",143,"64.06","283.80","421.00"
