Endpoint,Count,TPS,Avg,P90,P95
"Yoda-PDP",364195,"99.53","88.19","139.90","170.48"
"Yoda-gallery-g",144625,"39.53","79.29","121.03","142.84"
"Yoda-gallery-s",121563,"33.22","62.80","76.67","85.94"
"Yoda-Cart",82998,"22.68","156.44","194.35","220.60"
"/checkout/oc",9682,"2.65","95.42","110.91","119.47"
"/checkout/payment",1524,"0.42","202.53","255.63","290.66"
"/checkout/review",9395,"2.57","351.10","445.47","522.47"
"/checkout/shipping",9184,"2.51","132.44","149.24","164.26"
"/account/dashboard",12137,"3.32","45.13","62.08","70.41"
"/account/dashboard/wallet",12109,"3.31","43.70","61.24","69.18"
"/signin",12906,"3.53","41.78","58.03","66.77"
"/mylist",7508,"2.05","53.08","69.09","77.79"
"/savedlist",7489,"2.05","52.89","69.19","78.14"
"/",4777,"1.31","302.69","832.55","1092.98"
"/assets/scripts/done.js.gz",7761,"2.12","27.06","26.92","105.24"
"/d/baby",1636,"0.45","469.01","685.33","879.01"
"/d/baby-kids",384,"0.10","447.70","1038.12","1369.12"
"/d/bed-and-bath",1516,"0.41","340.98","468.67","654.19"
"/d/home-store",1316,"0.36","333.39","436.99","507.33"
"/d/jewelry-and-watches",1315,"0.36","332.24","449.48","520.10"
"/d/juniors",1666,"0.46","329.77","503.66","617.53"
"/d/kids",1315,"0.36","337.39","476.75","553.47"
"/d/men",2808,"0.77","555.38","904.68","1087.88"
"/d/purses-accessories",3237,"0.88","227.86","394.86","471.55"
"/d/salon",2930,"0.80","242.15","404.49","500.20"
"/d/sephora",1317,"0.36","331.49","447.25","504.86"
"/d/shoes",1505,"0.41","331.27","487.34","581.19"
"/d/window",2125,"0.58","279.52","431.74","521.75"
"/d/women",1602,"0.44","324.19","456.13","669.78"
"/d/women/lingerie",1692,"0.46","310.38","450.85","609.18"
"/launchpad",25437,"6.95","54.76","94.07","105.97"
"/rewards/dashboard",12139,"3.32","48.23","61.66","68.38"
"/warmupsites",11163,"3.05","319.95","1210.46","1953.75"
